Count,Time,CMD:ACPump.commandedRpm,CMD:Centrifuge.commandedRpm,CMD:DrawPump.commandedRpm,CMD:ReturnPump.commandedRpm,S:ACPump.commandedRpm,C:ACPump.commandedRpm,S:Centrifuge.commandedRpm,C:Centrifuge.commandedRpm,S:DrawPump.commandedRpm,C:DrawPump.commandedRpm,S:ReturnPump.commandedRpm,C:ReturnPump.commandedRpm,
Count,Time,,,,,,,,,,,,,
1774,2019-11-12 04:36:07.475,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2955,2019-11-12 04:36:16.286,-0,,-0,,-0.00,-0.00,,,-0.00,-0.00,,,
3051,2019-11-12 04:36:13.491,,,,,0.00,,,,0.00,,,,
5113,2019-11-12 04:37:27.033,,,,,-0.00,,,,-0.00,,,,
9774,2019-11-12 04:40:40.176,,,,,0.00,,,,0.00,,,,
10647,2019-11-12 04:41:19.991,,,,,-0.00,,,,-0.00,,,,
13220,2019-11-12 04:42:52.272,,500,,-96.5344,,,,500.00,,,-96.53,-96.53,
13297,2019-11-12 04:42:55.274,,0,,,,,,0.00,,,,,
14446,2019-11-12 04:43:42.312,,,,0,,,,,,,0.00,0.00,
14575,2019-11-12 04:43:47.316,,,,28.9603,,,,,,,28.96,28.96,
14665,2019-11-12 04:43:50.317,,,,0,,,,,,,0.00,0.00,
15059,2019-11-12 04:44:10.122,,,-31.2435,,,,,,-31.24,-31.24,,,
15129,2019-11-12 04:44:08.328,,,-0,,,,,,-0.00,-0.00,,,
15139,2019-11-12 04:44:13.126,,,156.217,,,,,,156.22,156.22,,,
15528,2019-11-12 04:44:28.140,,,-0,,,,,,-0.00,-0.00,,,
18471,2019-11-12 04:46:25.434,-43.2526,,0,48.2672,-43.25,-43.25,,,0.00,0.00,48.27,48.27,
18482,2019-11-12 04:46:30.228,,,-0.346728,,,,,,-0.35,-0.35,,,
18520,2019-11-12 04:46:27.433,,,-2.55423,,,,,,-2.55,-2.55,,,
18554,2019-11-12 04:46:33.230,,,-5.07378,,,,,,-5.07,-5.07,,,
18600,2019-11-12 04:46:30.439,,,-7.53555,0,,,,,-7.54,-7.54,0.00,0.00,
18634,2019-11-12 04:46:36.236,,,-10.0551,,,,,,-10.06,-10.06,,,
18675,2019-11-12 04:46:33.440,,,-12.7827,,,,,,-12.78,-12.78,,,
18710,2019-11-12 04:46:39.235,,,-15.0827,,,,,,-15.08,-15.08,,,
18747,2019-11-12 04:46:36.446,,,-17.764,,,,,,-17.76,-17.76,,,
18781,2019-11-12 04:46:42.241,,,-20.1564,,,,,,-20.16,-20.16,,,
18819,2019-11-12 04:46:39.447,,,-22.8378,,,,,,-22.84,-22.84,,,
18859,2019-11-12 04:46:45.241,,,-25.2649,,,,,,-25.26,-25.26,,,
18896,2019-11-12 04:46:42.448,,,-27.7845,,,,,,-27.78,-27.78,,,
18931,2019-11-12 04:46:48.246,,,-30.2924,,,,,,-30.29,-30.29,,,
18967,2019-11-12 04:46:45.452,,,-32.8929,,,,,,-32.89,-32.89,,,
19003,2019-11-12 04:46:51.246,,,-35.3662,,,,,,-35.37,-35.37,,,
19041,2019-11-12 04:46:48.454,,,-37.3541,,,,,,-37.35,-37.35,,,
19075,2019-11-12 04:46:54.248,,,-37.5275,,,,,,-37.53,-37.53,,,
19112,2019-11-12 04:46:51.456,,,-37.4928,,,,,,-37.49,-37.49,,,
19184,2019-11-12 04:46:54.458,,,-37.5275,,,,,,-37.53,-37.53,,,
19220,2019-11-12 04:47:00.252,,,-37.4928,,,,,,-37.49,-37.49,,,
19292,2019-11-12 04:47:03.256,,,-37.4466,,,,,,-37.45,-37.45,,,
19329,2019-11-12 04:47:00.462,,,-37.4928,,,,,,-37.49,-37.49,,,
19364,2019-11-12 04:47:06.257,,,-37.4004,,,,,,-37.40,-37.40,,,
19401,2019-11-12 04:47:03.462,,,-37.5275,,,,,,-37.53,-37.53,,,
19440,2019-11-12 04:47:09.261,-0,,-0,,-0.00,-0.00,,,-0.00,-0.00,,,
20044,2019-11-12 04:47:29.482,,,,-144.802,,,,,,,-144.80,-144.80,
20225,2019-11-12 04:47:36.487,,,,,0.00,,,,0.00,,0.00,,
20611,2019-11-12 04:47:56.293,,,,,-0.00,,,,-0.00,,-144.80,,
21060,2019-11-12 04:48:10.513,,,,0,,,,,,,,0.00,
21081,2019-11-12 04:48:11.012,,,,,,,,,,,0.00,,
